experiment,data_kind,variant,description,seed,status,silhouette_eval,entropy_balance,changed_from_v3_count,changed_from_v3_rate,error,lock_variant,reference_mode,split_seed,holdout_n,holdout_lock_ari,train_entropy_balance,holdout_entropy_balance,reference_entropy_balance
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2024,1500,0.5053903099188548,0.9912884039557449,0.990002507902061,0.9969546910074943
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2024,1500,0.4328909899469427,0.9912884039557449,0.990002507902061,0.9984891523706382
lock_resampling,real,,,,ok,,,,,,pvm,shared,2025,1500,0.9435023403809935,0.9988545012697019,0.9966670456274426,0.9968338963966653
lock_resampling,real,,,,ok,,,,,,pvm,self,2025,1500,0.9435023403809935,0.9988545012697019,0.9966670456274426,0.9968338963966653
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2025,1500,0.4511615459779218,0.9867875643729574,0.9860903490343276,0.9968338963966653
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2025,1500,0.5136414237988142,0.9867875643729574,0.9860903490343276,0.9910677920147418
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2025,1500,0.4779674672520652,0.9885979833684281,0.9862112503640078,0.9968338963966653
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2025,1500,0.7354953029799878,0.9885979833684281,0.9862112503640078,0.9934072818406796
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2025,1500,0.35260781460764684,0.9990461767252827,0.9971902893889376,0.9968338963966653
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2025,1500,0.5406454343134682,0.9990461767252827,0.9971902893889376,0.9964590961826993
lock_resampling,real,,,,ok,,,,,,pvm,shared,2026,1500,0.9138021097229757,0.999096223444262,0.9962011194866882,0.9965857753236864
lock_resampling,real,,,,ok,,,,,,pvm,self,2026,1500,0.9138021097229757,0.999096223444262,0.9962011194866882,0.9965857753236864
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2026,1500,0.45807891085443375,0.9862969533582646,0.9790396840639763,0.9965857753236864
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2026,1500,0.5275937976094403,0.9862969533582646,0.9790396840639763,0.9900016750162798
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2026,1500,0.49267979647278287,0.9908907538598456,0.9805926873307965,0.9965857753236864
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2026,1500,0.5572333474343136,0.9908907538598456,0.9805926873307965,0.9941774622969013
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2026,1500,0.6238640818580176,0.9894668003289449,0.9865517010455704,0.9965857753236864
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2026,1500,0.42204495257148555,0.9894668003289449,0.9865517010455704,0.999137253667895
lock_resampling,real,,,,ok,,,,,,pvm,shared,2027,1500,0.9029605568540304,0.9981739940628441,0.9978165882795635,0.9982515990019629
lock_resampling,real,,,,ok,,,,,,pvm,self,2027,1500,0.9029605568540304,0.9981739940628441,0.9978165882795635,0.9982515990019629
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2027,1500,0.4059831260937545,0.9926726861937305,0.9942212886261498,0.9982515990019629
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2027,1500,0.7319512339572518,0.9926726861937305,0.9942212886261498,0.990626406049267
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2027,1500,0.3975678482211598,0.9942692791262026,0.9971387040929733,0.9982515990019629
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2027,1500,0.6582997312582739,0.9942692791262026,0.9971387040929733,0.9932888659522855
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2027,1500,0.5878362869159177,0.9894648267816067,0.9847302972659848,0.9982515990019629
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2027,1500,0.47974849316548107,0.9894648267816067,0.9847302972659848,0.997759020103743
lock_resampling,real,,,,ok,,,,,,pvm,shared,2028,1500,0.5319071391985225,0.9975734274179466,0.9974039450608266,0.9980164492420732
lock_resampling,real,,,,ok,,,,,,pvm,self,2028,1500,0.5319071391985225,0.9975734274179466,0.9974039450608266,0.9980164492420732
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2028,1500,0.37434329316362114,0.9881066328868677,0.9884758418399613,0.9980164492420732
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2028,1500,0.5837576156332289,0.9881066328868677,0.9884758418399613,0.9900881887012851
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2028,1500,0.39774774182185996,0.9957700566105506,0.9954825828513298,0.9980164492420732
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2028,1500,0.5545316915726497,0.9957700566105506,0.9954825828513298,0.990103797555241
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2028,1500,0.6094223529134505,0.9896630812150191,0.9908973251879831,0.9980164492420732
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2028,1500,0.4202925841791999,0.9896630812150191,0.9908973251879831,0.9959297958071653
lock_resampling,real,,,,ok,,,,,,pvm,shared,2029,1500,0.9392547772713722,0.998322777223511,0.9980873971144868,0.9983470375053951
lock_resampling,real,,,,ok,,,,,,pvm,self,2029,1500,0.9392547772713722,0.998322777223511,0.9980873971144868,0.9983470375053951
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2029,1500,0.37491466016118247,0.9948589585716695,0.9910779169053051,0.9983470375053951
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2029,1500,0.37546340098535014,0.9948589585716695,0.9910779169053051,0.9955669034510101
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2029,1500,0.34396565153680964,0.993214231532392,0.9971649180089127,0.9983470375053951
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2029,1500,0.41929799323241934,0.993214231532392,0.9971649180089127,0.9919312704392274
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2029,1500,0.39335075675580233,0.9948092046124807,0.9984440259677444,0.9983470375053951
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2029,1500,0.3739737346549126,0.9948092046124807,0.9984440259677444,0.99681106218373
lock_resampling,real,,,,ok,,,,,,pvm,shared,2030,1500,0.9275291028989603,0.9979788681663067,0.9986941826962521,0.9985636684110523
lock_resampling,real,,,,ok,,,,,,pvm,self,2030,1500,0.9275291028989603,0.9979788681663067,0.9986941826962521,0.9985636684110523
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2030,1500,0.4361109730595692,0.988532374069491,0.9878719458539286,0.9985636684110523
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2030,1500,0.5264508919107009,0.988532374069491,0.9878719458539286,0.993917925540084
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2030,1500,0.4789641254360665,0.9933817872791909,0.9937666468843637,0.9985636684110523
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2030,1500,0.8956778506214289,0.9933817872791909,0.9937666468843637,0.993319218311844
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2030,1500,0.6183454752501619,0.9889744288297723,0.9899475547609291,0.9985636684110523
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2030,1500,0.4087385460122476,0.9889744288297723,0.9899475547609291,0.9963793123834476
lock_resampling,real,,,,ok,,,,,,pvm,shared,2031,1500,0.6368392360328499,0.9979371026280827,0.9970651841096638,0.9980766904381185
lock_resampling,real,,,,ok,,,,,,pvm,self,2031,1500,0.6368392360328499,0.9979371026280827,0.9970651841096638,0.9980766904381185
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2031,1500,0.37111418861155865,0.9929199325072009,0.994508231644926,0.9980766904381185
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2031,1500,0.44730005377481546,0.9929199325072009,0.994508231644926,0.9904183329952816
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2031,1500,0.3892207624044496,0.990381174004111,0.993861077664416,0.9980766904381185
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2031,1500,0.4647247417531512,0.990381174004111,0.993861077664416,0.9933361952135613
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2031,1500,0.3948215626594546,0.9952316982222204,0.9951247037330835,0.9980766904381185
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2031,1500,0.37805486931045035,0.9952316982222204,0.9951247037330835,0.9990498469526827
lock_resampling,real,,,,ok,,,,,,pvm,shared,2032,1500,0.865975097779603,0.9982494097065111,0.9997799578362863,0.999266266850109
lock_resampling,real,,,,ok,,,,,,pvm,self,2032,1500,0.865975097779603,0.9982494097065111,0.9997799578362863,0.999266266850109
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2032,1500,0.382262182716767,0.9969490735731251,0.9930332150091509,0.999266266850109
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2032,1500,0.3601123521335771,0.9969490735731251,0.9930332150091509,0.9956503933821781
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2032,1500,0.43125877162311,0.9970447800911787,0.9937236486806026,0.999266266850109
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2032,1500,0.7283841148755634,0.9970447800911787,0.9937236486806026,0.9900924658381294
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2032,1500,0.6396445501730643,0.9893706461045986,0.9926727057125648,0.999266266850109
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2032,1500,0.40897155952159403,0.9893706461045986,0.9926727057125648,0.9965775708720924
lock_resampling,real,,,,ok,,,,,,pvm,shared,2033,1500,0.9355539030964214,0.998080115302335,0.9988664728158796,0.9988132601290737
lock_resampling,real,,,,ok,,,,,,pvm,self,2033,1500,0.9355539030964214,0.998080115302335,0.9988664728158796,0.9988132601290737
lock_resampling,real,,,,ok,,,,,,raw_kmeans,shared,2033,1500,0.31405880496533206,0.9948375126665376,0.9949700980678523,0.9988132601290737
lock_resampling,real,,,,ok,,,,,,raw_kmeans,self,2033,1500,0.385937460629469,0.9948375126665376,0.9949700980678523,0.9946380161981534
lock_resampling,real,,,,ok,,,,,,pca_kmeans,shared,2033,1500,0.47621550590421663,0.9946327421112029,0.9909370749050997,0.9988132601290737
lock_resampling,real,,,,ok,,,,,,pca_kmeans,self,2033,1500,0.8411240444710167,0.9946327421112029,0.9909370749050997,0.9900221560184396
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,shared,2033,1500,0.49938517996612247,0.9891306657991527,0.9902413030264674,0.9988132601290737
lock_resampling,real,,,,ok,,,,,,pca6_kmeans,self,2033,1500,0.3975571685035177,0.9891306657991527,0.9902413030264674,0.9943773728140484
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2024,1500,0.10196770625109455,0.9991853663949719,0.9983696746379448,0.9999730348224927
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2024,1500,0.10196770625109455,0.9991853663949719,0.9983696746379448,0.9999730348224927
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2024,1500,0.0060283670056100695,0.9892821916407694,0.9890318121234968,0.9999730348224927
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2024,1500,0.250697461191845,0.9892821916407694,0.9890318121234968,0.9956981327845592
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2024,1500,0.01071900739577972,0.9997613695388395,0.9995453037686842,0.9999730348224927
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2024,1500,0.0056110116720693515,0.9997613695388395,0.9995453037686842,0.999403038488736
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2024,1500,0.08500914561397044,0.9992806234009691,0.9994062845119609,0.9999730348224927
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2024,1500,0.0746928864440131,0.9992806234009691,0.9994062845119609,0.9994047187615025
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2025,1500,0.038799475809720534,0.9999539610168725,0.9992497225560953,0.9997906753373628
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2025,1500,0.038799475809720534,0.9999539610168725,0.9992497225560953,0.9997906753373628
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2025,1500,0.002171225698681335,0.9879280580411148,0.9875150700160136,0.9997906753373628
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2025,1500,0.12890338768270881,0.9879280580411148,0.9875150700160136,0.9940589777598414
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2025,1500,0.02216981397042679,0.9997281554986884,0.9991576845518912,0.9997906753373628
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2025,1500,0.0061079259932755115,0.9997281554986884,0.9991576845518912,0.9991164871620443
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2025,1500,0.031836403699551256,0.9999616255712965,0.999819025172459,0.9997906753373628
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2025,1500,0.06976567628701175,0.9999616255712965,0.999819025172459,0.999534052851985
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2026,1500,0.052867814028522704,0.9997451034812037,0.9985640035177513,0.9978591675004073
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2026,1500,0.052867814028522704,0.9997451034812037,0.9985640035177513,0.9978591675004073
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2026,1500,0.0028300912876048617,0.9906844157911607,0.9912492711454838,0.9978591675004073
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2026,1500,0.15828485556443822,0.9906844157911607,0.9912492711454838,0.9932473966325983
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2026,1500,0.007943472651627701,0.9998066831676443,0.9989709005237528,0.9978591675004073
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2026,1500,0.0030809757410898628,0.9998066831676443,0.9989709005237528,0.9996367166051309
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2026,1500,0.059532206137611975,0.9999216959871019,0.9996843774081768,0.9978591675004073
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2026,1500,0.12277254268834753,0.9999216959871019,0.9996843774081768,0.9998376174472321
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2027,1500,0.03689267481189697,0.9999261236574721,0.9989094820337144,0.9997203906811675
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2027,1500,0.03689267481189697,0.9999261236574721,0.9989094820337144,0.9997203906811675
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2027,1500,0.004026741931840324,0.9920579992536467,0.9958942866145606,0.9997203906811675
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2027,1500,0.18694344604335636,0.9920579992536467,0.9958942866145606,0.9936016347176035
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2027,1500,0.007027899316114968,0.9995640638969623,0.9992499130030605,0.9997203906811675
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2027,1500,0.0033029513074884493,0.9995640638969623,0.9992499130030605,0.9994894379557112
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2027,1500,0.039062590564354814,0.9997845884108659,0.9989453990974176,0.9997203906811675
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2027,1500,0.08680850381469017,0.9997845884108659,0.9989453990974176,0.9999220552028251
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2028,1500,0.03664274946471215,0.9999658779410959,0.9995778823062135,0.999559522855879
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2028,1500,0.03664274946471215,0.9999658779410959,0.9995778823062135,0.999559522855879
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2028,1500,0.003335259619845527,0.9965688138419687,0.9940421316520888,0.999559522855879
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2028,1500,0.1523146852867226,0.9965688138419687,0.9940421316520888,0.994654156189655
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2028,1500,0.015095905969163739,0.9998607620323381,0.9997170460955724,0.999559522855879
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2028,1500,0.001500351889992235,0.9998607620323381,0.9997170460955724,0.9995700844170462
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2028,1500,0.08559784434333344,0.999540988272311,0.9997926932833463,0.999559522855879
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2028,1500,0.1106579246731828,0.999540988272311,0.9997926932833463,0.9997289874823485
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2029,1500,0.0547053887132991,0.9998933363731467,0.9964283665570074,0.9999114342575727
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2029,1500,0.0547053887132991,0.9998933363731467,0.9964283665570074,0.9999114342575727
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2029,1500,0.006377279742378467,0.9974764318983512,0.9975110681177918,0.9999114342575727
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2029,1500,0.1499036994085005,0.9974764318983512,0.9975110681177918,0.9952556948264947
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2029,1500,0.011091080374406856,0.9999011922676133,0.9998109657147544,0.9999114342575727
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2029,1500,0.009210376540150922,0.9999011922676133,0.9998109657147544,0.9994021067457209
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2029,1500,0.04865962745536645,0.9999785549050494,0.9975918262206279,0.9999114342575727
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2029,1500,0.04889644867466178,0.9999785549050494,0.9975918262206279,0.9995955359472092
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2030,1500,0.07279212812708925,0.9995371386832584,0.9989553342233466,0.9995917352707963
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2030,1500,0.07279212812708925,0.9995371386832584,0.9989553342233466,0.9995917352707963
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2030,1500,0.005365159761507984,0.9991838747365778,0.9995712495276029,0.9995917352707963
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2030,1500,0.15825588953973269,0.9991838747365778,0.9995712495276029,0.9913725150948884
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2030,1500,0.012564020200076506,0.9999898513924954,0.9990800087762252,0.9995917352707963
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2030,1500,0.0013917569551343003,0.9999898513924954,0.9990800087762252,0.9994336137616627
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2030,1500,0.09147065001521652,0.9997846647748705,0.9982716625105811,0.9995917352707963
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2030,1500,0.08612499386114995,0.9997846647748705,0.9982716625105811,0.9997827287697776
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2031,1500,0.05559612157010746,0.9996956410629272,0.9997603569000897,0.9995778823062135
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2031,1500,0.05559612157010746,0.9996956410629272,0.9997603569000897,0.9995778823062135
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2031,1500,0.0032621621863046,0.9991797313438919,0.9989516024415481,0.9995778823062135
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2031,1500,0.1769223133987114,0.9991797313438919,0.9989516024415481,0.9957760907566899
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2031,1500,0.01604195999176536,0.9998442866045262,0.9998822549845432,0.9995778823062135
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2031,1500,0.0063704991969535316,0.9998442866045262,0.9998822549845432,0.9990136356427266
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2031,1500,0.05046873370130337,0.9994615614445675,0.9994925233863747,0.9995778823062135
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2031,1500,0.05719575278538642,0.9994615614445675,0.9994925233863747,0.9999021186764186
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2032,1500,0.05271312831122351,0.9999482754265292,0.9998855490063838,0.9990485437571169
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2032,1500,0.05271312831122351,0.9999482754265292,0.9998855490063838,0.9990485437571169
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2032,1500,0.00408395441854554,0.8590590343387506,0.8455281990509559,0.9990485437571169
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,self,2032,1500,0.23896488188604076,0.8590590343387506,0.8455281990509559,0.9913662198601283
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,shared,2032,1500,0.015282454402702171,0.9998464145013759,0.9995980964565028,0.9990485437571169
lock_resampling,shuffled,,,,ok,,,,,,pca_kmeans,self,2032,1500,0.0036562055704054378,0.9998464145013759,0.9995980964565028,0.9999501039667511
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,shared,2032,1500,0.04628217096849611,0.9998131544776638,0.9999538870949956,0.9990485437571169
lock_resampling,shuffled,,,,ok,,,,,,pca6_kmeans,self,2032,1500,0.07197335251146728,0.9998131544776638,0.9999538870949956,0.9994079076075243
lock_resampling,shuffled,,,,ok,,,,,,pvm,shared,2033,1500,0.05966293528352628,0.9990262563973651,0.9994498953255146,0.9997195540471208
lock_resampling,shuffled,,,,ok,,,,,,pvm,self,2033,1500,0.05966293528352628,0.9990262563973651,0.9994498953255146,0.9997195540471208
lock_resampling,shuffled,,,,ok,,,,,,raw_kmeans,shared,2033,1500,0.0030846430361361654,0.9954170011797773,0.992967433377794,0.9997195540471208
