role,row_index,source_id,text_sha256
V3_0_to_V4_3_lowest_margin,1788,488f27588aac0ceb,c0fed3c563d5f05aaf7ee3d4bf14740abe7a841699f84dbfbcbe6d6c1683d1ab
V3_1_to_V4_0_lowest_margin,902,f7587a2e7093accd,1f7fb86a605cc8352d9b2bfbe57b67da09104f747e2a5d5c762dfc594799fbc2
V3_1_to_V4_2_lowest_margin,4407,4d2607d920851926,930b3f8f23242ad2f739cc256ae16ebb1d6b6a4893c7778f251a00c96484c988
V3_2_to_V4_0_lowest_margin,1268,b136306e029cdc6c,1b45296ca161ad3761c03068122c0cf9fb1ddb23dfc5eec9ea03d29859aacc6d
V3_2_to_V4_0_lowest_margin,4109,1fb1a03338da10bc,355e1db42f306130b50d58e59dacbe8fd1cb68dfa5f2cdab6b4393b52950a644
V3_2_to_V4_1_lowest_margin,4454,79eea7f41d44a363,ffd4b06277a5d4c4ccbe11886b49e86c263dddf6c076c46dcc855802ee330b24
V3_2_to_V4_1_lowest_margin,1345,b59eeb54d1284e90,0cc0c8629f1b0b131f2eac74c1c0081ea6b5eac5958858a88f46fea324860e76
V3_2_to_V4_3_lowest_margin,2129,3e9e51d68788ff4c,4c82a00b4d87649017bcf1d2f81b8477edc04dfe9cd003cac79bb6d2839b5cc0
V3_2_to_V4_3_lowest_margin,4317,a66cfa56a341fbaf,2224be6211dfb817198a2d063b42096ebdb6f876496c2141da5013f439af2469
V3_3_to_V4_0_lowest_margin,1061,e19679412be15059,2c7f4c7445fbc36a4064b580e731b12a2ecb59d315f0c772c507db28705aaf29
V3_3_to_V4_0_lowest_margin,716,11d7cecfc4abf8c0,7bacf042cd101383d3c8d61febfe9ad775f8a6d48b40a44e76e12dfb81372aea
V3_3_to_V4_1_lowest_margin,1201,70e1c8803ad2af1a,c7d3a37ba05bf133dfe3f6789525cd2f505ff3eb866528262fce9559aa4713ab
V3_3_to_V4_1_lowest_margin,1009,9644c45da8608009,6fb28dabb330ff5156b7c8c7c09d0932d05a03a3e852c9ba1ba0192d982ef4ec
V3_3_to_V4_2_lowest_margin,4922,d8a5f17f3f3f298f,dd9c4d104cdc7120d023add45a721ac3f83414387152c3b555b5d831b2687489
V3_3_to_V4_2_lowest_margin,4410,fb72b31c73e54790,d76c9ab3389bd676b1e6d277d338171a197e9aca35a033ed056b324f5c878169
